yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,1656796,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,1946772,21.0000287,57.0036901,39.89317229901691,61.060280637304274
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,59781,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,9251,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,30330,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,26086,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1857214,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,107204,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,307352,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1477,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1100876,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,12978,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,626812,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1001378,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2002,2002,Import,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,20201015,21.0000287,57.0036901,,
