yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,50615204,31.17,-7.33,-16.85099460447687,133.4130365630627
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,18102650,31.17,-7.33,37.977378106878206,73.97804075806764
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,44705856,31.17,-7.33,51.67568633314729,27.673469819741847
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,999373,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,82009881,31.17,-7.33,17.925141963241547,-78.01492950057497
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,106832642,31.17,-7.33,43.897683433510366,-100.08947125585888
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,16953842,31.17,-7.33,59.36075159783851,25.01346951967388
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,27330814,31.17,-7.33,10.528384761701911,103.08333472012376
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,6438646,31.17,-7.33,25.499703063807168,75.5024015339642
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,106097359,31.17,-7.33,40.12399607988535,20.742583178432696
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,8456891,31.17,-7.33,6.06272746187266,22.727528470146083
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,3143834,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1876424,31.17,-7.33,26.42921218083572,52.86847103284948
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,46847803,31.17,-7.33,47.92172048214207,7.866753258497997
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,584676737,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,1361546,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Azerbaijan, Azerbaijan,225,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,93,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,627,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,90618,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,1068783,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,451,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,9268144,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,73729,31.17,-7.33,,
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,4980,31.17,-7.33,,
