yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,2805,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,408,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,43336,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,8590,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,12809,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1060560,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,499062,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,493,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1026261,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,World,World,4319868,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Afghanistan, Afghanistan,46835,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Algeria, Algeria,90245,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,75902,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Comoros, Comoros,2178,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,420,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Djibouti, Djibouti,10574,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Iraq, Iraq,378860,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,23152,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,130774,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,65,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Libya, Libya,47651,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Mauritania, Mauritania,3295,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,136,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,38366,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,28680,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,28836,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,25554,24.0002488,53.9994829,,
2004,2004,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,599648,24.0002488,53.9994829,,
