yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,60146,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,19265,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,26064,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1428,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,154,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,World,World,2114204,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,590,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,9731,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,12293,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,1109198,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,3104,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,23612,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,1556,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,165218,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,22721,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,399890,26.1551249,50.5344606,,
