yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,159247,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,55537,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,202631,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,8348,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,1158470,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,1974,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,4535,35.8885993,14.4476911,,
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,30534,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,766437,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,2464307,35.8885993,14.4476911,,
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Cyprus, Cyprus,8428,35.8885993,14.4476911,,
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Pakistan, Pakistan,2252,35.8885993,14.4476911,,
2007,2007,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,51,35.8885993,14.4476911,,
