yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,394944,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,820638,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,23829781,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,52305027,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,28718366,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,5239894,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Micronesia,Oceania,40653,38.9597594,34.9249653,6.418559504495792,157.6364476938912
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5710700,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,23799201,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,43335,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,5571239,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,39324476,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,3321466,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,54402,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,8957382,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,33621286,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,World,World,265648305,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,3000,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Azerbaijan, Azerbaijan,5237,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,2061407,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Georgia, Georgia,6943,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,86534,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Israel, Israel,3360342,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,19434695,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,734742,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,941509,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,233788,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,2379,38.9597594,34.9249653,,
2005,2005,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,11383,38.9597594,34.9249653,,
