yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",439326,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,Belgium,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",537,,,50.6402809,4.6667145
2016,2016,Import,Comoros,China,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",58018,,,35.000074,104.999927
2016,2016,Import,Comoros,Denmark,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2018,,,55.670249,10.3333283
2016,2016,Import,Comoros,France,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",124471,,,46.603354,1.8883335
2016,2016,Import,Comoros,Kenya,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",3496,,,1.4419683,38.4313975
2016,2016,Import,Comoros,Rep. of Korea,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",538,,,,
2016,2016,Import,Comoros,Kuwait,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",134,,,29.2733964,47.4979476
2016,2016,Import,Comoros,Lebanon,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1402,,,33.8750629,35.843409
2016,2016,Import,Comoros,Madagascar,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",25880,,,-18.9249604,46.4416422
2016,2016,Import,Comoros,Mauritius,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",955,,,-20.2759451,57.5703566
2016,2016,Import,Comoros,Netherlands,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",147843,,,52.2434979,5.6343227
2016,2016,Import,Comoros,Saudi Arabia,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",44,,,25.6242618,42.3528328
2016,2016,Import,Comoros,India,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4407,,,22.3511148,78.6677428
2016,2016,Import,Comoros,South Africa,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",40662,,,-28.8166236,24.991639
2016,2016,Import,Comoros,Togo,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",370,,,8.7800265,1.0199765
2016,2016,Import,Comoros,United Arab Emirates,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",26101,,,24.0002488,53.9994829
2016,2016,Import,Comoros,United Rep. of Tanzania,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",682,,,,
2016,2016,Import,Comoros,USA,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1757,,,,
