yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,448,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1277089,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,506285,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,180,40.7696272,44.6736646,,
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,11841,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,60822,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,520811,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,675,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,163320,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,832950,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1551502,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1145255,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6113021,40.7696272,44.6736646,,
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,490,40.7696272,44.6736646,,
2016,2016,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,859,40.7696272,44.6736646,,
