yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,52177,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2793258,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,41435,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,235,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,143382,29.2733964,47.4979476,19.569604022535763,12.47761721199581
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4158207,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1108007,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,519307,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,784,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,4179244,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,29173,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,671775,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4415667,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2015,2015,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,28556424,29.2733964,47.4979476,,
