yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,161638
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2107596
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,270874
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,429967
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,510883
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3155739
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1687546
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,374892
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,497
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1961013
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1596605
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4620156
2017,2017,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,21319219
