yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,17606,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,224550,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,44,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,246755,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,605282,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,128870,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,95,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2287104,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,43,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1436562,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,518090,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,World,World,15570903,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,14166,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,15809,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,7044,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,3535337,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,2255296,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,953267,16.3471243,47.8915271,,
2008,2008,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,1872161,16.3471243,47.8915271,,
