yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,7983,30.3308401,71.247499,51.67568633314729,27.673469819741847
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,44126,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,325,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1214201,30.3308401,71.247499,59.36075159783851,25.01346951967388
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,986700,30.3308401,71.247499,10.528384761701911,103.08333472012376
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,584067,30.3308401,71.247499,25.499703063807168,75.5024015339642
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,792,30.3308401,71.247499,40.12399607988535,20.742583178432696
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,104714,30.3308401,71.247499,6.06272746187266,22.727528470146083
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1693617,30.3308401,71.247499,26.42921218083572,52.86847103284948
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,452862,30.3308401,71.247499,47.92172048214207,7.866753258497997
2005,2005,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5361115,30.3308401,71.247499,,
