yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1868527,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,317492,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1400,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,297697,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,266054,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,3267,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,246306,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1315652,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,15329,40.7696272,44.6736646,6.06272746187266,22.727528470146083
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2065062,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,679710,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7153713,40.7696272,44.6736646,,
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,5780,40.7696272,44.6736646,,
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,1115,40.7696272,44.6736646,,
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,35,40.7696272,44.6736646,,
2010,2010,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,13176,40.7696272,44.6736646,,
