yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,161349,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,154335,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,103049,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,105500,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10085778,,,-36.8535712,174.7456809
2018,2018,Import,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,21716418,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,19648292,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,19549938,,,-36.8535712,174.7456809
2016,2016,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,39485218,,,-36.8535712,174.7456809
2018,2018,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,21794460,,,-36.8535712,174.7456809
2019,2019,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16674614,,,-36.8535712,174.7456809
2020,2020,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16619348,,,-36.8535712,174.7456809
2021,2021,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13214689,,,-36.8535712,174.7456809
2016,2016,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,15743444,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,23451126,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13843772,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6062626,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,139894845,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5223880,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13629083,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16004240,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,20286222,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,21151790,,,-36.8535712,174.7456809
2015,2015,Import,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,53709604,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Import,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,45820251,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Import,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,49871027,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,56350281,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,44915662,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,59325604,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Yemen,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,461081,,,-36.8535712,174.7456809
