yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,18
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,332
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,12
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,210
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,40
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,19
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,392565
2006,2006,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,World,World,428491
