yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,623000,33.8750629,35.843409,37.977378106878206,73.97804075806764
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,32000,33.8750629,35.843409,51.67568633314729,27.673469819741847
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,88000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,119000,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1065000,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,620000,33.8750629,35.843409,59.36075159783851,25.01346951967388
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1134000,33.8750629,35.843409,10.528384761701911,103.08333472012376
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,77000,33.8750629,35.843409,25.499703063807168,75.5024015339642
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2541000,33.8750629,35.843409,40.12399607988535,20.742583178432696
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,10000,33.8750629,35.843409,6.06272746187266,22.727528470146083
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,491000,33.8750629,35.843409,26.42921218083572,52.86847103284948
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3524000,33.8750629,35.843409,47.92172048214207,7.866753258497997
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,11370000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,1000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, Cyprus, Cyprus,28000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,166000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, Morocco, Morocco,4000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,4000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,624000,33.8750629,35.843409,,
2004,2004,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,69000,33.8750629,35.843409,,
