yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Re-Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7444883,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,Armenia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,260,,,,
2019,2019,Re-Export,Oman,Iran,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2080,,,32.6475314,54.5643516
2019,2019,Re-Export,Oman,Japan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,194085,,,36.5748441,139.2394179
2019,2019,Re-Export,Oman,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,260,,,4.5693754,102.2656823
2019,2019,Re-Export,Oman,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,265921,,,52.2434979,5.6343227
2019,2019,Re-Export,Oman,Qatar,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,146265,,,25.3336984,51.2295295
2019,2019,Re-Export,Oman,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,130,,,25.6242618,42.3528328
2019,2019,Re-Export,Oman,India,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,16754,,,22.3511148,78.6677428
2019,2019,Re-Export,Oman,Singapore,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,951,,,1.357107,103.8194992
2019,2019,Re-Export,Oman,Somalia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2171809,,,8.3676771,49.083416
2019,2019,Re-Export,Oman,Spain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1711,,,39.3260685,-4.8379791
2019,2019,Re-Export,Oman,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,155534,,,24.0002488,53.9994829
2019,2019,Re-Export,Oman,United Rep. of Tanzania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1846,,,,
2019,2019,Re-Export,Oman,Yemen,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4487271,,,16.3471243,47.8915271
