yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,12750,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,7434101,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,97355,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,57075,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,102,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,29770,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,150993,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,14452,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,62500,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,127431,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,World,World,7998582,40.7696272,44.6736646,,
2006,2006,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,9678,40.7696272,44.6736646,,
