yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,20668,28.0000272,2.9999825,-16.85099460447687,133.4130365630627
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,3649465,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,301777,28.0000272,2.9999825,,
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,5035645,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,202434,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1841,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2654165,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1188,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,2677727,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,60701,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,397121,28.0000272,2.9999825,,
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,446923,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,4975565,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,World,World,20425637,28.0000272,2.9999825,,
2004,2004,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,417,28.0000272,2.9999825,,
