yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,118388,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,68388,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2684,31.1667049,36.941628,,
