yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2109
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,39061
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,2602
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,2530148
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1389778
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,9337469
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,10619628
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,16180
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5437
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,305883
2003,2003,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,26545937
