yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,243604,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,101151,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,88018,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,590945,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1181336,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,298682,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1107848,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1473830,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,3532369,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2782029,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,11462721,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,1650,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1369106,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,16090010,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,World,World,74757324,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Afghanistan, Afghanistan,765,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Algeria, Algeria,1642094,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Azerbaijan, Azerbaijan,5407392,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,466,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,422556,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Djibouti, Djibouti,322550,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Georgia, Georgia,777649,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Israel, Israel,9546423,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,2332049,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,225749,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,997061,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Libya, Libya,4428615,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,9480,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,31599,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,2710,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,3783083,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,State of Palestine, State of Palestine,419296,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,265838,38.9597594,34.9249653,,
2002,2002,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,167244,38.9597594,34.9249653,,
