yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2082,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,72815,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,182110,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,1884,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1494407,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5035740,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4899039,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1020532,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,4382840,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,18722215,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,752037,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,72553,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,545161,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,96443,34.9823018,33.1451285,,
