yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,161048,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,21633,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,10027,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,425791,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,539420,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,269912,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,55221,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,272845,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1399,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,17904,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,16018,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1008249,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,World,World,3825783,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,48090,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,92875,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,814,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,18157,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,399,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,42271,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,77064,26.1551249,50.5344606,,
2004,2004,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,524810,26.1551249,50.5344606,,
