yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,World,World,130322,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,763,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,23191,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,105941,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,426,26.1551249,50.5344606,,
