yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,68396
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,20800
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,65498
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,238841
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,82780
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,159193
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,11662
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,768965
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2835726
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2098440
2002,2002,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,8000913
