yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Export,Malta,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22105036.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2013,2013.0,Export,Malta,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",110241.0,,35.8885993,14.4476911,-24.7761086,134.755
2013,2013.0,Export,Malta,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",76.0,,35.8885993,14.4476911,47.59397,14.12456
2013,2013.0,Export,Malta,Belize,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15927.0,,35.8885993,14.4476911,16.8259793,-88.7600927
2013,2013.0,Export,Malta,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",32517.0,,35.8885993,14.4476911,35.000074,104.999927
2013,2013.0,Export,Malta,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",175378.0,,35.8885993,14.4476911,46.603354,1.8883335
2013,2013.0,Export,Malta,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2654.0,,35.8885993,14.4476911,32.3293809,-83.1137366
2013,2013.0,Export,Malta,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1055705.0,,35.8885993,14.4476911,51.1638175,10.4478313
2013,2013.0,Export,Malta,Ghana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10087.0,,35.8885993,14.4476911,8.0300284,-1.0800271
2013,2013.0,Export,Malta,Guinea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2654.0,,35.8885993,14.4476911,10.7226226,-10.7083587
2013,2013.0,Export,Malta,Guyana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2190.0,,35.8885993,14.4476911,4.8417097,-58.6416891
2013,2013.0,Export,Malta,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",144464.0,,35.8885993,14.4476911,22.350627,114.1849161
