yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2002,2002.0,Re-Export,Saudi Arabia,World,11.0,Products of the milling industry; malt; starches; inulin,82667.0,,25.6242618,42.3528328,-36.8535712,174.7456809
2002,2002.0,Re-Export,Saudi Arabia,Ethiopia,11.0,Products of the milling industry; malt; starches; inulin,43467.0,,25.6242618,42.3528328,10.2116702,38.6521203
2002,2002.0,Re-Export,Saudi Arabia,Yemen,11.0,Products of the milling industry; malt; starches; inulin,39200.0,,25.6242618,42.3528328,16.3471243,47.8915271
